cell_id,lon,lat,LCZ_Class,Building_Density,LST_Terra,LST_Aqua,NDVI,ERA5_Temp,lst_mean,LST_range,surface_excess,site,surface_excess_pred,amp01
0,39.60320564663915,21.204506115403777,16,0.0,,,0.0,30.503914,,,,,20.260250899550304,0.6072887137086789
1,39.60324234564295,21.213541038183138,16,0.0,,,0.0,30.503914,,,,,20.260250899550304,0.6072887137086789
2,39.60327906402755,21.22257595124164,16,0.0,,,0.0,30.503914,,,,,20.260250899550304,0.6072887137086789
3,39.603315801798274,21.231610854575905,16,0.0005404496650759,,,0.0,30.503914,,,,,20.35093625292456,0.622536832085274
4,39.60335255896047,21.2406457481826,16,0.000121616640089,,,0.0,30.503914,,,,,20.410441925971192,0.6325423016890526
5,39.60338933551945,21.24968063205837,16,0.0005110900650782,,,0.0,30.474457,,,,,20.39981552904371,0.630755546141018
6,39.60342613148059,21.258715506199856,16,0.0019655626696951,,,0.0,30.440536,,,,,20.230927303864952,0.6023581528010936
7,39.603462946849234,21.26775037060372,16,0.00104994451276,,,0.0,30.440536,,,,,20.323717644158712,0.6179602102487242
8,39.60349978163071,21.276785225266597,16,0.0008643042972804,,,0.0,30.440536,,,,,20.323717644158712,0.6179602102487242
9,39.60353663583039,21.28582007018513,16,0.0008857170188934,49.6098747253418,55.4257926940918,0.0475707352161407,30.440536,52.5178337097168,5.81591796875,22.077297709716795,,22.188706814724775,0.9315453106617806
10,39.60357350945364,21.294854905356008,16,0.00056729259858,50.1429443359375,55.91233825683594,0.051872331649065,30.440536,53.02764129638672,5.7693939208984375,22.587105296386717,,22.344163936115017,0.9576843562875992
11,39.6036104025058,21.30388973077585,16,0.0132931139415099,49.84382629394531,56.05907440185547,0.043375838547945,30.440536,52.95145034790039,6.215248107910156,22.51091434790039,,22.91272007331706,1.0
12,39.60364731499226,21.31292454644132,16,0.0055890919573559,50.03189849853515,56.30883026123047,0.0189237799495458,30.440536,53.17036437988281,6.27693176269532,22.72982837988281,,23.29938854299349,1.0
13,39.60368424691836,21.321959352349086,16,0.0063183854739368,50.059417724609375,55.76112365722656,0.0581954270601272,30.440536,52.91027069091797,5.7017059326171875,22.469734690917967,,22.43218110650505,0.9724838380489081
14,39.60372119828951,21.330994148495787,16,0.0013671287703792,50.23834991455078,54.341094970703125,0.0659901052713394,30.440536,52.28972244262695,4.102745056152344,21.84918644262695,,21.62860781103807,0.8373685159198366
15,39.603758169111046,21.340028934878084,16,0.002318363245746,49.25379180908203,55.247215270996094,0.0706319957971572,30.440536,52.25050354003906,5.9934234619140625,21.80996754003906,,22.558196642133623,0.993672483547422
16,39.603795159388376,21.34906371149264,16,0.0012920426300361,47.41658020019531,53.317230224609375,0.0725854337215423,30.383734,50.36690521240234,5.9006500244140625,19.983171212402336,,22.26047820699617,0.9436131765815483
17,39.60383216912687,21.358098478336103,16,6.018231329848181e-05,47.01204299926758,52.47547912597656,0.0580434240400791,30.297369,49.74376106262207,5.463436126708984,19.44639206262207,,21.852791289221877,0.8750634256955754
18,39.60386919833193,21.367133235405145,16,0.0017255125927863,48.73430252075195,53.5068473815918,0.0532249063253402,30.297369,51.12057495117188,4.772544860839844,20.823205951171882,,21.81209339139171,0.868220354122243
19,39.60390624700893,21.37616798269642,16,0.0012049034452375,49.69646453857422,54.30068206787109,0.0633480846881866,30.297369,51.998573303222656,4.604217529296868,21.701204303222656,,21.844527229021804,0.8736738808185545
20,39.60394331516327,21.3852027202066,16,0.0048260191730707,49.09013748168945,54.41446685791016,0.0670582503080368,30.297369,51.752302169799805,5.32432937622071,21.454933169799805,,21.86316602843863,0.8768078667306177
21,39.60398040280036,21.394237447932326,16,0.0029347983161118,48.89932632446289,54.05802154541016,0.0762587189674377,30.297369,51.47867393493652,5.158695220947273,21.181304934936524,,21.620665010097497,0.8360329885774691
22,39.60401750992558,21.40327216587028,16,0.0966397486293152,49.14023208618164,53.767845153808594,0.088276594877243,30.297369,51.45403861999512,4.627613067626953,21.156669619995117,,22.580570878727322,0.9974345575259915
23,39.60405463654436,21.41230687401713,8,0.0229587717529957,49.258056640625,54.18072509765625,0.0669363364577293,30.297369,51.71939086914063,4.92266845703125,21.422021869140632,,21.430318439738013,0.8040275220999653
24,39.60409178266208,21.42134157236953,16,0.0109260815033996,50.44911193847656,55.02996826171875,0.0934943556785583,30.297369,52.739540100097656,4.5808563232421875,22.442171100097656,,21.85476220433033,0.8753948215138164
25,39.60412894828417,21.43037626092413,16,0.0013391792703682,50.37852096557617,55.90148162841797,0.0818288326263427,30.297369,53.14000129699707,5.522960662841797,22.84263229699707,,22.375299788828986,0.9629196357486551
26,39.60416613341605,21.439410939677657,8,2.2097488527408392e-05,50.52645111083984,55.02043533325195,0.0842290967702865,30.297369,52.7734432220459,4.4939842224121165,22.4760742220459,,20.565087550192096,0.6585448996478563
27,39.60420333806312,21.44844560862672,8,0.0481313376238952,51.29868316650391,55.64303970336914,0.087441086769104,30.293148,53.47086143493652,4.344356536865227,23.177713434936525,,21.26655809032849,0.7764923457977483
28,39.60424056223084,21.457480267768,16,0.0,52.39807891845703,56.32599258422851,0.1011309772729873,30.284521,54.36203575134277,3.9279136657714773,24.077514751342772,,21.590531517191977,0.8309662490233163
29,39.60427780592459,21.466514917098184,16,0.0006987962649046,52.39128112792969,56.775917053222656,0.0580282062292099,30.284521,54.58359909057617,4.384635925292969,24.29907809057617,,22.225960142743055,0.9378092015152526
