timestamp,site,TWB_C,wet_bulb_depression,wind_speed_rate,crowd_factor,crowd01,hour,diurnal_factor,wind_eff,wind_cool_factor,dust_penalty_c,stagnant_penalty_c,crowd_penalty_c,twb_eff_mean,risk_mean,risk_p95,pct_high,pct_extreme,alert_color,alert_action
2021-07-18 21:00:00,ARAFAT,21.053388940333985,14.646611059666014,1.55,1.0,0.0,21,1.1738666487320324,1.55,0.9559163077628435,0.010709534262131823,0.011819225354618445,0.0,24.609957777381823,23.525059972754303,24.661126450542895,0.10638297872340426,0.0425531914893617,YELLOW,Extra water stations; increased medical presence
2021-07-18 21:00:00,MUZDALIFAH,21.053388940333985,14.646611059666014,1.55,1.0,0.0,21,1.1738666487320324,1.55,0.9559163077628435,0.010709534262131823,0.011819225354618445,0.0,24.041234118933705,22.98140775303322,24.735131092672482,0.1111111111111111,0.037037037037037035,YELLOW,Extra water stations; increased medical presence
2021-07-19 00:00:00,HARAM,21.012099033678012,13.987900966321988,0.0,1.033802816901401,0.01690140845070054,0,1.09,0.0,1.0,0.003843802309727615,0.7046376623823059,0.020281690140840646,22.186435075689676,22.186435075689676,23.76269042011063,0.10714285714285714,0.03571428571428571,GREEN,Normal operations
2021-07-19 00:00:00,MINA,21.012099033678012,13.987900966321988,0.0,2.23943661971831,0.619718309859155,0,1.09,0.0,1.0,0.003843802309727615,0.7046376623823059,0.7436619718309859,23.456053136794896,23.456053136794896,25.248020880761544,0.1111111111111111,0.044444444444444446,GREEN,Normal operations
2021-07-19 00:00:00,ARAFAT,21.012099033678012,13.987900966321988,0.0,1.405633802816894,0.202816901408447,0,1.09,0.0,1.0,0.003843802309727615,0.7046376623823059,0.24338028169013637,25.24800895488587,25.24800895488587,26.34906109593704,0.10638297872340426,0.0425531914893617,YELLOW,Extra water stations; increased medical presence
2021-07-19 00:00:00,MUZDALIFAH,21.012099033678012,13.987900966321988,0.0,1.0,0.0,0,1.09,0.0,1.0,0.003843802309727615,0.7046376623823059,0.0,24.480655785140726,24.480655785140726,26.177567229330315,0.1111111111111111,0.037037037037037035,YELLOW,Extra water stations; increased medical presence
2021-07-19 03:00:00,HARAM,21.707461978884055,12.492538021115942,0.0,1.033802816901401,0.01690140845070054,3,0.9534125718815463,0.0,1.0,0.003843802309727615,0.7046376623823059,0.020281690140840646,22.825963475300256,22.825963475300256,24.20469894490246,0.10714285714285714,0.03571428571428571,GREEN,Normal operations
2021-07-19 03:00:00,MINA,21.707461978884055,12.492538021115942,0.0,2.23943661971831,0.619718309859155,3,0.9534125718815463,0.0,1.0,0.003843802309727615,0.7046376623823059,0.7436619718309859,24.027132716743594,24.027132716743594,25.5945497584904,0.1111111111111111,0.044444444444444446,YELLOW,Extra water stations; increased medical presence
2021-07-19 03:00:00,ARAFAT,21.707461978884055,12.492538021115942,0.0,1.405633802816894,0.202816901408447,3,0.9534125718815463,0.0,1.0,0.003843802309727615,0.7046376623823059,0.24338028169013637,25.531849245030863,25.531849245030863,26.494929018953137,0.10638297872340426,0.0425531914893617,YELLOW,Extra water stations; increased medical presence
2021-07-19 03:00:00,MUZDALIFAH,21.707461978884055,12.492538021115942,0.0,1.0,0.0,3,0.9534125718815463,0.0,1.0,0.003843802309727615,0.7046376623823059,0.0,24.83213829363222,24.83213829363222,26.314427096793295,0.1111111111111111,0.037037037037037035,YELLOW,Extra water stations; increased medical presence
2021-07-19 06:00:00,HARAM,24.430717797131063,7.569282202868939,0.75,1.2823529411764696,0.1411764705882348,6,0.844115427318801,0.697058823529412,0.9692432906086111,0.006317666805935081,0.2500381692252495,0.16941176470588173,25.201544983246663,24.426428387982924,25.609564513485005,0.10714285714285714,0.03571428571428571,YELLOW,Extra water stations; increased medical presence
