timestamp,cell_id,lon,lat,site,TWB_C,wind_speed_rate,wind_eff,crowd_factor,twb_eff,risk_score,risk_level,alert_color,alert_action
2022-07-05 00:00:00,968,39.80666159223126,21.41145414716028,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,969,39.806711194709706,21.420488451096627,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,970,39.80676082323247,21.429522745188223,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,971,39.80681047780677,21.43855702943172,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1012,39.81625910970709,21.40237314075054,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1013,39.81630927892403,21.41140743292401,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1014,39.81635947448935,21.42044171525352,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1015,39.81640969641036,21.4294759877357,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1016,39.8164599446944,21.438510250367205,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1017,39.81651021934875,21.447544503144652,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1057,39.82590617728321,21.402325893130016,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1058,39.82595693926842,21.41136016344244,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1059,39.82600772791331,21.4203944239083,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1060,39.82605854322526,21.429428674524228,HARAM,20.50896379758315,1.05,0.525,3.0,23.314951604949595,22.685899705926403,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1061,39.82610938521168,21.43846291528688,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1062,39.82616025387997,21.44749714619287,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1102,39.83555321820705,21.40227809052729,HARAM,20.50896379758315,1.05,0.525,3.0,23.132328306336422,22.508203697523605,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1103,39.83560457295314,21.4113123387219,HARAM,20.50896379758315,1.05,0.525,3.0,24.14583697165294,23.494367268524833,HIGH,YELLOW,Extra water stations; increased medical presence
2022-07-05 00:00:00,1104,39.835655954670194,21.42034657706731,HARAM,20.50896379758315,1.05,0.525,3.0,22.890899291032056,22.27328858725022,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1105,39.83570736336568,21.42938080556016,HARAM,20.50896379758315,1.05,0.525,3.0,22.126828587800244,21.529832986936054,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1106,39.83575879904708,21.438415024197088,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1107,39.8358102617219,21.447449232974723,HARAM,20.50896379758315,1.05,0.525,3.0,22.459415257524117,21.853446261401615,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1147,39.84520023216742,21.402229732948783,HARAM,20.50896379758315,1.05,0.525,3.0,24.0677645576454,23.418401296817706,HIGH,YELLOW,Extra water stations; increased medical presence
2022-07-05 00:00:00,1148,39.84525217966693,21.41126395876881,HARAM,20.50896379758315,1.05,0.525,3.0,24.678244324973942,24.012409940231425,EXTREME,YELLOW,Extra water stations; increased medical presence
2022-07-05 00:00:00,1149,39.845304154448655,21.420298174736978,HARAM,20.50896379758315,1.05,0.525,3.0,23.23595816604062,22.60903755914267,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1150,39.845356156520175,21.42933238084992,HARAM,20.50896379758315,1.05,0.525,3.0,22.931606378527057,22.31289737219987,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1151,39.84540818588907,21.43836657710425,HARAM,20.50896379758315,1.05,0.525,3.0,22.09668339515056,21.500501130338016,LOW,GREEN,Normal operations
2022-07-05 00:00:00,1194,39.85495232693732,21.42024921692378,HARAM,20.50896379758315,1.05,0.525,3.0,22.55572474118005,21.947157255272355,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1236,39.864441072866526,21.39309716273597,MINA,20.50896379758315,1.05,1.0218734971696661,1.107148582210796,21.950347775990476,21.146752243365516,MODERATE,GREEN,Normal operations
2022-07-05 00:00:00,1237,39.86449417795304,21.40213135289044,MINA,20.50896379758315,1.05,1.0218734971696661,1.107148582210796,20.669210530218646,19.91251704114617,LOW,GREEN,Normal operations
